13,26
15,15
5,5
28,4
10,27
19,16
15,13
28,27
4,28
20,22
18,28
24,26
24,28
28,15
15,27
24,20
22,19
23,28
27,15
5,10
28,27
29,13
28,28
28,27
26,10
28,15
21,24
16,10
28,4
28,4
15,12
15,27
20,4
4,4
27,22
13,13
28,28
15,14
23,26
28,0
28,30
15,28
15,23
28,10
15,15
28,31
28,28
28,15
19,28
9,28
28,28
31,20
27,4
15,15
28,28
28,24
27,13
28,4
13,20
5,13
9,28
12,15
5,15
0,20
16,20
31,14
17,13
28,28
28,10
24,28
4,4
6,28
24,15
27,13
4,20
28,4
31,15
27,8
7,23
28,27
27,15
28,21
15,4
1,20
31,27
5,19
20,28
28,28
28,28
4,11
28,28
31,11
28,16
7,13
21,28
27,5
28,19
28,30
28,5
28,20
28,27
20,19
28,10
28,0
22,28
17,28
28,2
28,15
29,15
28,15
30,28
10,14
13,28
15,27
11,27
22,7
19,13
22,5
11,20
28,13
20,20
31,20
26,27
31,28
6,28
4,28
7,7
11,7
15,20
28,16
28,31
4,26
23,28
28,19
28,28
29,10
0,26
13,20
28,31
7,31
28,20
23,27
6,23
20,13
13,19
23,2
4,13
22,4
5,31
6,20
27,28
15,24
28,15
31,28
26,20
28,26
27,30
28,28
15,13
27,19
